# i, xi, phi_tmpi, Ares, rho/np.exp(yi), dAres, dy,rho,yi,np.exp(yi)
0, 0.002525252525252525, -0.1259197244174488, [-5.99151317], [396.], [-5.99151257 -5.99151376], 0.0001, [21146.16997993], 3.9777998684020703, 53.39941914123736
1, 0.9974747474747475, -4.531647912667143, [-5.99151317], [1.00253165], [-5.99171681 -5.99130953], 0.0001, [21146.16997993], 9.956685633303193, 21092.77056078878
0, 0.0026262626262626263, -0.12581660937805594, [-5.99106814], [380.76923077], [-5.99106752 -5.99106876], 0.0001, [21146.16997993], 4.017020581555352, 55.53539590688687
1, 0.9973737373737374, -4.531529951685618, [-5.99106814], [1.00263318], [-5.9912718  -5.99086449], 0.0001, [21146.16997993], 9.956584362352677, 21090.634584023093
0, 0.0027272727272727275, -0.12571346380634285, [-5.99062312], [366.66666667], [-5.99062248 -5.99062377], 0.0001, [21146.16997993], 4.054760909538199, 57.67137267253639
1, 0.9972727272727273, -4.531411983359886, [-5.99062312], [1.00273473], [-5.99082679 -5.99041946], 0.0001, [21146.16997993], 9.95648308114532, 21088.49860725748
0, 0.0028282828282828283, -0.1256102864217583, [-5.9901781], [353.57142857], [-5.99017743 -5.99017877], 0.0001, [21146.16997993], 4.091128553709074, 59.807349438185845
1, 0.9971717171717172, -4.531294007703222, [-5.9901781], [1.0028363], [-5.99038178 -5.98997443], 0.0001, [21146.16997993], 9.956381789679039, 21086.362630491818
0, 0.002929292929292929, -0.12550708673232247, [-5.98973308], [341.37931034], [-5.98973239 -5.98973378], 0.0001, [21146.16997993], 4.126219873520344, 61.943326203835355
1, 0.9970707070707071, -4.5311760247377855, [-5.98973308], [1.0029379], [-5.98993678 -5.9895294 ], 0.0001, [21146.16997993], 9.956280487951759, 21084.226653726182
0, 0.0030303030303030303, -0.1254038656505836, [-5.98928807], [330.], [-5.98928735 -5.98928878], 0.0001, [21146.16997993], 4.160121425196025, 64.07930296948486
1, 0.996969696969697, -4.531058034365488, [-5.98928807], [1.00303951], [-5.98949177 -5.98908437], 0.0001, [21146.16997993], 9.956179175961397, 21082.090676960517
0, 0.0031313131313131315, -0.12530061546180749, [-5.98884305], [319.35483871], [-5.98884231 -5.98884379], 0.0001, [21146.16997993], 4.1929112480190165, 66.21527973513437
1, 0.9968686868686869, -4.530940036715414, [-5.98884305], [1.00314115], [-5.98904677 -5.98863934], 0.0001, [21146.16997993], 9.956077853705876, 21079.954700194852
0, 0.0032323232323232323, -0.1251973431543414, [-5.98839804], [309.375], [-5.98839728 -5.9883988 ], 0.0001, [21146.16997993], 4.224659946333596, 68.35125650078383
1, 0.9967676767676767, -4.530822031729542, [-5.98839804], [1.00324281], [-5.98860177 -5.98819432], 0.0001, [21146.16997993], 9.955976521183118, 21077.818723429227
0, 0.003333333333333333, -0.12509404421113013, [-5.98795303], [300.], [-5.98795224 -5.98795382], 0.0001, [21146.16997993], 4.25543160500035, 70.48723326643334
1, 0.9966666666666667, -4.530704019403343, [-5.98795303], [1.00334448], [-5.98815677 -5.98774929], 0.0001, [21146.16997993], 9.955875178391036, 21075.682746663555
0, 0.0034343434343434343, -0.12499071076703228, [-5.98750802], [291.17647059], [-5.98750721 -5.98750883], 0.0001, [21146.16997993], 4.285284568150031, 72.62321003208281
1, 0.9965656565656565, -4.530585999758982, [-5.98750802], [1.00344618], [-5.98771177 -5.98730427], 0.0001, [21146.16997993], 9.955773825327553, 21073.546769897905
0, 0.0035353535353535356, -0.1248873597222162, [-5.98706301], [282.85714286], [-5.98706217 -5.98706384], 0.0001, [21146.16997993], 4.314272105023283, 74.75918679773231
1, 0.9964646464646465, -4.530467972783006, [-5.98706301], [1.0035479], [-5.98726677 -5.98685925], 0.0001, [21146.16997993], 9.955672461990586, 21071.41079313228
0, 0.0036363636363636364, -0.12478397556768961, [-5.986618], [275.], [-5.98661714 -5.98661886], 0.0001, [21146.16997993], 4.34244298198998, 76.89516356338184
1, 0.9963636363636363, -4.530349938493146, [-5.986618], [1.00364964], [-5.98682178 -5.98641423], 0.0001, [21146.16997993], 9.95557108837805, 21069.27481636663
0, 0.003737373737373737, -0.12468057892984508, [-5.986173], [267.56756757], [-5.98617211 -5.98617388], 0.0001, [21146.16997993], 4.369841956178094, 79.0311403290313
1, 0.9962626262626263, -4.530231896907148, [-5.986173], [1.00375139], [-5.98637678 -5.98596921], 0.0001, [21146.16997993], 9.955469704487863, 21067.138839600953
0, 0.0038383838383838384, -0.12457714892671534, [-5.98572799], [260.52631579], [-5.98572709 -5.9857289 ], 0.0001, [21146.16997993], 4.396510203260256, 81.16711709468083
1, 0.9961616161616161, -4.530113847971423, [-5.98572799], [1.00385317], [-5.98593179 -5.9855242 ], 0.0001, [21146.16997993], 9.955368310317942, 21065.002862835336
0, 0.00393939393939394, -0.12447368936395486, [-5.98528299], [253.84615385], [-5.98528206 -5.98528392], 0.0001, [21146.16997993], 4.4224856896635165, 83.30309386033032
1, 0.9960606060606061, -4.52999579171264, [-5.98528299], [1.00395497], [-5.9854868  -5.98507918], 0.0001, [21146.16997993], 9.9552669058662, 21062.86688606969
0, 0.00404040404040404, -0.12437021026118034, [-5.98483799], [247.5], [-5.98483703 -5.98483894], 0.0001, [21146.16997993], 4.447803497647806, 85.4390706259798
1, 0.9959595959595959, -4.52987772816191, [-5.98483799], [1.0040568], [-5.98504181 -5.98463417], 0.0001, [21146.16997993], 9.95516549113055, 21060.73090930401
0, 0.004141414141414141, -0.12426669492480347, [-5.98439299], [241.46341463], [-5.98439201 -5.98439396], 0.0001, [21146.16997993], 4.472496110238177, 87.57504739162927
1, 0.9958585858585859, -4.5297596573013195, [-5.98439299], [1.00415864], [-5.98459682 -5.98418916], 0.0001, [21146.16997993], 9.95506406610891, 21058.594932538355
0, 0.004242424242424242, -0.1241631659350535, [-5.98394799], [235.71428571], [-5.98394699 -5.98394899], 0.0001, [21146.16997993], 4.496593661817238, 89.71102415727879
1, 0.9957575757575757, -4.529641579126322, [-5.98394799], [1.0042605], [-5.98415183 -5.98374415], 0.0001, [21146.16997993], 9.954962630799193, 21056.458955772712
0, 0.004343434343434344, -0.12405960185155207, [-5.98350299], [230.23255814], [-5.98350197 -5.98350402], 0.0001, [21146.16997993], 4.520124159227432, 91.84700092292827
1, 0.9956565656565657, -4.529523493632373, [-5.98350299], [1.00436238], [-5.98370685 -5.98329914], 0.0001, [21146.16997993], 9.95486118519931, 21054.322979007084
0, 0.0044444444444444444, -0.12395602315089116, [-5.983058], [225.], [-5.98305695 -5.98305904], 0.0001, [21146.16997993], 4.543113677452131, 93.98297768857776
1, 0.9955555555555555, -4.529405400837229, [-5.983058], [1.00446429], [-5.98326187 -5.98285413], 0.0001, [21146.16997993], 9.95475972930717, 21052.18700224141
0, 0.004545454545454545, -0.12385240745553094, [-5.982613], [220.], [-5.98261193 -5.98261407], 0.0001, [21146.16997993], 4.56558653330419, 96.11895445422729
1, 0.9954545454545455, -4.529287300714044, [-5.982613], [1.00456621], [-5.98281688 -5.98240912], 0.0001, [21146.16997993], 9.95465826312069, 21050.05102547576
0, 0.004646464646464647, -0.12374877065239742, [-5.98216801], [215.2173913], [-5.98216691 -5.9821691 ], 0.0001, [21146.16997993], 4.587565440022965, 98.25493121987681
1, 0.9953535353535353, -4.529169193356422, [-5.98216801], [1.00466816], [-5.9823719  -5.98196412], 0.0001, [21146.16997993], 9.954556786637777, 21047.915048710103
0, 0.004747474747474748, -0.12364510856775324, [-5.98172302], [210.63829787], [-5.9817219  -5.98172414], 0.0001, [21146.16997993], 4.609071645243929, 100.39090798552628
1, 0.9952525252525253, -4.529051078621521, [-5.98172302], [1.00477012], [-5.98192692 -5.98151912], 0.0001, [21146.16997993], 9.954455299856344, 21045.779071944457
0, 0.0048484848484848485, -0.1235414201233036, [-5.98127803], [206.25], [-5.98127689 -5.98127917], 0.0001, [21146.16997993], 4.630125054441761, 102.52688475117577
1, 0.9951515151515151, -4.5289329565984815, [-5.98127803], [1.00487211], [-5.98148195 -5.98107411], 0.0001, [21146.16997993], 9.954353802774298, 21043.643095178817
0, 0.004949494949494949, -0.12343770612312355, [-5.98083304], [202.04081633], [-5.98083187 -5.98083421], 0.0001, [21146.16997993], 4.650744341644496, 104.66286151682523
1, 0.9950505050505051, -4.528814827305089, [-5.98083304], [1.00497411], [-5.98103697 -5.98062911], 0.0001, [21146.16997993], 9.95425229538955, 21041.50711841319
0, 0.00505050505050505, -0.12333396378961181, [-5.98038805], [198.], [-5.98038686 -5.98038924], 0.0001, [21146.16997993], 4.670947048962016, 106.79883828247473
1, 0.9949494949494949, -4.528696690727882, [-5.98038805], [1.00507614], [-5.98059199 -5.98018412], 0.0001, [21146.16997993], 9.954150777700004, 21039.371141647523
0, 0.005151515151515152, -0.12323020176960675, [-5.97994307], [194.11764706], [-5.97994185 -5.97994428], 0.0001, [21146.16997993], 4.6907496762581955, 108.93481504812424
1, 0.9948484848484849, -4.528578546831081, [-5.97994307], [1.00517819], [-5.98014702 -5.97973912], 0.0001, [21146.16997993], 9.954049249703573, 21037.23516488189
0, 0.0052525252525252525, -0.12312640521675178, [-5.97949808], [190.38461538], [-5.97949685 -5.97949932], 0.0001, [21146.16997993], 4.710167762115297, 111.07079181377375
1, 0.9947474747474747, -4.528460395672639, [-5.97949808], [1.00528026], [-5.97970205 -5.97929412], 0.0001, [21146.16997993], 9.95394771139816, 21035.09918811623
0, 0.005353535353535353, -0.12302258694984936, [-5.9790531], [186.79245283], [-5.97905184 -5.97905436], 0.0001, [21146.16997993], 4.729215957085992, 113.20676857942324
1, 0.9946464646464647, -4.528342237181059, [-5.9790531], [1.00538235], [-5.97925708 -5.97884913], 0.0001, [21146.16997993], 9.953846162781671, 21032.96321135056
0, 0.005454545454545455, -0.12291874743971354, [-5.97860812], [183.33333333], [-5.97860684 -5.9786094 ], 0.0001, [21146.16997993], 4.747908090098145, 115.34274534507279
1, 0.9945454545454545, -4.5282240714276885, [-5.97860812], [1.00548446], [-5.97881211 -5.97840414], 0.0001, [21146.16997993], 9.953744603852016, 21030.82723458493
0, 0.005555555555555556, -0.12281487513238654, [-5.97816314], [180.], [-5.97816183 -5.97816445], 0.0001, [21146.16997993], 4.7662572287663405, 117.47872211072219
1, 0.9944444444444445, -4.528105898412475, [-5.97816314], [1.00558659], [-5.97836714 -5.97795914], 0.0001, [21146.16997993], 9.953643034607095, 21028.69125781927
0, 0.0056565656565656566, -0.1227109781411242, [-5.97771816], [176.78571429], [-5.97771683 -5.97771949], 0.0001, [21146.16997993], 4.784275734269019, 119.6146988763717
1, 0.9943434343434343, -4.527987718072826, [-5.97771816], [1.00568874], [-5.97792217 -5.97751415], 0.0001, [21146.16997993], 9.953541455044816, 21026.555281053614
0, 0.005757575757575757, -0.12260705783919645, [-5.97727319], [173.68421053], [-5.97727183 -5.97727454], 0.0001, [21146.16997993], 4.80197531136842, 121.75067564202116
1, 0.9942424242424243, -4.527869530448854, [-5.97727319], [1.00579092], [-5.97747721 -5.97706917], 0.0001, [21146.16997993], 9.953439865163082, 21024.419304287996
0, 0.005858585858585858, -0.12250311398901559, [-5.97682821], [170.68965517], [-5.97682683 -5.97682959], 0.0001, [21146.16997993], 4.819367054080289, 123.88665240767072
1, 0.9941414141414141, -4.527751335576244, [-5.97682821], [1.00589311], [-5.97703225 -5.97662418], 0.0001, [21146.16997993], 9.953338264959793, 21022.283327522327
0, 0.00595959595959596, -0.12239913668179181, [-5.97638324], [167.79661017], [-5.97638183 -5.97638464], 0.0001, [21146.16997993], 4.836461487439589, 126.02262917332017
1, 0.9940404040404041, -4.527633133432587, [-5.97638324], [1.00599533], [-5.97658728 -5.97617919], 0.0001, [21146.16997993], 9.953236654432855, 21020.147350756673
0, 0.006060606060606061, -0.12229513938437453, [-5.97593826], [165.], [-5.97593684 -5.97593969], 0.0001, [21146.16997993], 4.853268605755971, 128.1586059389697
1, 0.9939393939393939, -4.527514839765306, [-5.97593826], [1.00609756], [-5.97614232 -5.97573421], 0.0001, [21146.16997993], 9.95313503358017, 21018.01137399104
0, 0.006161616161616161, -0.12219111449982023, [-5.97549329], [162.29508197], [-5.97549184 -5.97549474], 0.0001, [21146.16997993], 4.869797907707181, 130.29458270461913
1, 0.9938383838383839, -4.52739662313337, [-5.97549329], [1.00619982], [-5.97569736 -5.97528923], 0.0001, [21146.16997993], 9.953033402399635, 21015.875397225373
0, 0.006262626262626263, -0.12207369883078778, [-5.97504832], [159.67741935], [-5.97504685 -5.9750498 ], 0.0001, [21146.16997993], 4.886058428578961, 132.43055947026863
1, 0.9937373737373737, -4.527278399225747, [-5.97504832], [1.00630209], [-5.97525241 -5.97484425], 0.0001, [21146.16997993], 9.952931760889156, 21013.739420459748
0, 0.006363636363636364, -0.12198298541291486, [-5.97460336], [157.14285714], [-5.97460186 -5.97460485], 0.0001, [21146.16997993], 4.902058769925403, 134.56653623591822
1, 0.9936363636363637, -4.527160168050161, [-5.97460336], [1.00640439], [-5.97480745 -5.97439927], 0.0001, [21146.16997993], 9.952830109046628, 21011.60344369409
0, 0.006464646464646465, -0.12187888517742174, [-5.97415839], [154.6875], [-5.97415687 -5.97415991], 0.0001, [21146.16997993], 4.917807126893542, 136.7025130015677
1, 0.9935353535353535, -4.527042013783886, [-5.97415839], [1.00650671], [-5.97436249 -5.97395429], 0.0001, [21146.16997993], 9.952728446869953, 21009.467466928432
0, 0.0065656565656565654, -0.12177475706570862, [-5.97371342], [152.30769231], [-5.97371188 -5.97371497], 0.0001, [21146.16997993], 4.933311313429507, 138.83848976721717
1, 0.9934343434343434, -4.5269237680037335, [-5.97371342], [1.00660905], [-5.97391754 -5.97350931], 0.0001, [21146.16997993], 9.952626774357029, 21007.33149016277
0, 0.006666666666666666, -0.12167060240785998, [-5.97326846], [150.], [-5.97326689 -5.97327003], 0.0001, [21146.16997993], 4.948578785560295, 140.97446653286667
1, 0.9933333333333333, -4.5268055149744555, [-5.97326846], [1.00671141], [-5.97347259 -5.97306433], 0.0001, [21146.16997993], 9.952525091505754, 21005.195513397117
0, 0.006767676767676768, -0.12156642376683502, [-5.9728235], [147.76119403], [-5.97282191 -5.97282509], 0.0001, [21146.16997993], 4.963616662924836, 143.11044329851617
1, 0.9932323232323232, -4.526687254664713, [-5.9728235], [1.00681379], [-5.97302764 -5.97261936], 0.0001, [21146.16997993], 9.952423398314027, 21003.059536631496
0, 0.006868686868686869, -0.12146221514965783, [-5.97237854], [145.58823529], [-5.97237692 -5.97238015], 0.0001, [21146.16997993], 4.978431748709976, 145.24642006416562
1, 0.9931313131313131, -4.5265689870878525, [-5.97237854], [1.00691619], [-5.97258269 -5.97217439], 0.0001, [21146.16997993], 9.95232169477974, 21000.923559865838
0, 0.0069696969696969695, -0.1213579855656195, [-5.97193358], [143.47826087], [-5.97193194 -5.97193521], 0.0001, [21146.16997993], 4.993030548131129, 147.38239682981512
1, 0.993030303030303, -4.52645071227065, [-5.97193358], [1.00701861], [-5.97213774 -5.97172942], 0.0001, [21146.16997993], 9.952219980900795, 20998.7875831002
0, 0.007070707070707071, -0.1212537271792904, [-5.97148862], [141.42857143], [-5.97148696 -5.97149028], 0.0001, [21146.16997993], 5.007419285583229, 149.51837359546462
1, 0.9929292929292929, -4.526332430190699, [-5.97148862], [1.00712106], [-5.97169279 -5.97128445], 0.0001, [21146.16997993], 9.952118256675082, 20996.651606334526
0, 0.007171717171717172, -0.12114944436180553, [-5.97104366], [139.43661972], [-5.97104198 -5.97104535], 0.0001, [21146.16997993], 5.021603920575186, 151.6543503611142
1, 0.9928282828282828, -4.526214140865834, [-5.97104366], [1.00722352], [-5.97124785 -5.97083948], 0.0001, [21146.16997993], 9.952016522100498, 20994.51562956887
0, 0.007272727272727273, -0.1210451363563565, [-5.97059871], [137.5], [-5.970597   -5.97060041], 0.0001, [21146.16997993], 5.035590162549925, 153.79032712676357
1, 0.9927272727272727, -4.526095844287049, [-5.97059871], [1.00732601], [-5.97080291 -5.97039451], 0.0001, [21146.16997993], 9.95191477717494, 20992.379652803244
0, 0.0073737373737373735, -0.12094080244753824, [-5.97015375], [135.61643836], [-5.97015202 -5.97015548], 0.0001, [21146.16997993], 5.049383484682261, 155.92630389241316
1, 0.9926262626262626, -4.525977540454315, [-5.97015375], [1.00742851], [-5.97035796 -5.96994955], 0.0001, [21146.16997993], 9.951813021896296, 20990.24367603757
0, 0.007474747474747474, -0.1208364419584731, [-5.9697088], [133.78378378], [-5.96970705 -5.96971055], 0.0001, [21146.16997993], 5.0629891367380395, 158.0622806580626
1, 0.9925252525252525, -4.525859229385462, [-5.9697088], [1.00753104], [-5.96991302 -5.96950458], 0.0001, [21146.16997993], 9.951711256262463, 20988.107699271935
0, 0.007575757575757576, -0.1207320524897173, [-5.96926385], [132.], [-5.96926207 -5.96926563], 0.0001, [21146.16997993], 5.07641215707018, 160.19825742371214
1, 0.9924242424242424, -4.525740911040183, [-5.96926385], [1.00763359], [-5.96946808 -5.96905962], 0.0001, [21146.16997993], 9.951609480271332, 20985.97172250628
0, 0.007676767676767677, -0.1206276404452673, [-5.9688189], [130.26315789], [-5.9688171 -5.9688207], 0.0001, [21146.16997993], 5.089657383820201, 162.33423418936167
1, 0.9923232323232323, -4.525622585498963, [-5.9688189], [1.00773616], [-5.96902314 -5.96861466], 0.0001, [21146.16997993], 9.951507693920794, 20983.83574574065
0, 0.0077777777777777776, -0.12052320333178734, [-5.96837395], [128.57142857], [-5.96837213 -5.96837578], 0.0001, [21146.16997993], 5.1027294653875535, 164.47021095501108
1, 0.9922222222222222, -4.52550425269466, [-5.96837395], [1.00783875], [-5.96857821 -5.9681697 ], 0.0001, [21146.16997993], 9.951405897208739, 20981.699768974973
0, 0.00787878787878788, -0.12041873709273121, [-5.967929], [126.92307692], [-5.96792716 -5.96793085], 0.0001, [21146.16997993], 5.115632870223462, 166.60618772066067
1, 0.9921212121212121, -4.525385912636148, [-5.967929], [1.00794136], [-5.96813327 -5.96772474], 0.0001, [21146.16997993], 9.95130409013306, 20979.563792209356
0, 0.00797979797979798, -0.12031424733765483, [-5.96748406], [125.3164557], [-5.96748219 -5.96748593], 0.0001, [21146.16997993], 5.128371896000891, 168.74216448631003
1, 0.992020202020202, -4.525267565368168, [-5.96748406], [1.00804399], [-5.96768834 -5.96727978], 0.0001, [21146.16997993], 9.951202272691644, 20977.427815443683
0, 0.00808080808080808, -0.12020973170169436, [-5.96703911], [123.75], [-5.96703722 -5.96704101], 0.0001, [21146.16997993], 5.140950678207751, 170.8781412519596
1, 0.9919191919191919, -4.525149210827994, [-5.96703911], [1.00814664], [-5.96724341 -5.96683483], 0.0001, [21146.16997993], 9.951100444882382, 20975.29183867805
0, 0.008181818181818182, -0.12010519119332397, [-5.96659417], [122.22222222], [-5.96659225 -5.96659609], 0.0001, [21146.16997993], 5.1533731982063085, 173.01411801760906
1, 0.9918181818181818, -4.525030849060354, [-5.96659417], [1.00824931], [-5.96679848 -5.96638987], 0.0001, [21146.16997993], 9.95099860670316, 20973.155861912408
0, 0.008282828282828282, -0.12000062516326704, [-5.96614923], [120.73170732], [-5.96614729 -5.96615117], 0.0001, [21146.16997993], 5.165643290798123, 175.15009478325854
1, 0.9917171717171717, -4.524912480074171, [-5.96614923], [1.00835201], [-5.96635355 -5.96594492], 0.0001, [21146.16997993], 9.950896758151867, 20971.019885146725
