# i,xi[i],phi_tmp[i], Ares, rho, dAres, drho
1, 0.9913131313131314, -4.524439127975864, [-5.96436948], [21146.16997993], [-5.96534418 -5.96339441], [10.]
0, 0.008787878787878787, -0.11947676741923363, [-5.96392454], [21146.16997993], [-5.96281709 -5.96503311], [10.]
1, 0.9912121212121212, -4.524320722911643, [-5.96392454], [21146.16997993], [-5.9648994  -5.96294933], [10.]
0, 0.008888888888888889, -0.11937204488271114, [-5.96347961], [21146.16997993], [-5.96237232 -5.96458802], [10.]
1, 0.9911111111111112, -4.524202310623576, [-5.96347961], [21146.16997993], [-5.96445462 -5.96250424], [10.]
0, 0.00898989898989899, -0.11926729649381818, [-5.96303468], [21146.16997993], [-5.96192755 -5.96414292], [10.]
1, 0.991010101010101, -4.524083891124787, [-5.96303468], [21146.16997993], [-5.96400984 -5.96205915], [10.]
0, 0.00909090909090909, -0.119162522261961, [-5.96258975], [21146.16997993], [-5.96148278 -5.96369783], [10.]
1, 0.990909090909091, -4.523965464404963, [-5.96258975], [21146.16997993], [-5.96356507 -5.96161407], [10.]
0, 0.009191919191919192, -0.11905772217772359, [-5.96214482], [21146.16997993], [-5.96103801 -5.96325274], [10.]
1, 0.9908080808080808, -4.52384703047159, [-5.96214482], [21146.16997993], [-5.96312029 -5.96116898], [10.]
0, 0.009292929292929294, -0.11895289624675431, [-5.96169989], [21146.16997993], [-5.96059324 -5.96280765], [10.]
1, 0.9907070707070708, -4.523728589325621, [-5.96169989], [21146.16997993], [-5.96267552 -5.9607239 ], [10.]
0, 0.009393939393939394, -0.11884804446622166, [-5.96125497], [21146.16997993], [-5.96014848 -5.96236257], [10.]
1, 0.9906060606060606, -4.523610140971741, [-5.96125497], [21146.16997993], [-5.96223075 -5.96027882], [10.]
0, 0.009494949494949495, -0.11874316683706176, [-5.96081004], [21146.16997993], [-5.95970371 -5.96191748], [10.]
1, 0.9905050505050506, -4.5234916854043075, [-5.96081004], [21146.16997993], [-5.96178598 -5.95983374], [10.]
0, 0.009595959595959595, -0.11863826336021299, [-5.96036512], [21146.16997993], [-5.95925895 -5.9614724 ], [10.]
1, 0.9904040404040404, -4.523373222639286, [-5.96036512], [21146.16997993], [-5.96134121 -5.95938866], [10.]
0, 0.009696969696969697, -0.11853333403660615, [-5.9599202], [21146.16997993], [-5.95881419 -5.96102731], [10.]
1, 0.9903030303030304, -4.523254752664458, [-5.9599202], [21146.16997993], [-5.96089644 -5.95894359], [10.]
0, 0.009797979797979799, -0.11842837886247759, [-5.95947528], [21146.16997993], [-5.95836943 -5.96058223], [10.]
1, 0.9902020202020202, -4.5231362754863955, [-5.95947528], [21146.16997993], [-5.96045167 -5.95849851], [10.]
0, 0.009898989898989899, -0.11832339783876478, [-5.95903036], [21146.16997993], [-5.95792467 -5.96013715], [10.]
1, 0.9901010101010101, -4.5230177911116645, [-5.95903036], [21146.16997993], [-5.96000691 -5.95805344], [10.]
0, 0.01, -0.11821839096921716, [-5.95858544], [21146.16997993], [-5.95747991 -5.95969207], [10.]
1, 0.99, -4.522899299541201, [-5.95858544], [21146.16997993], [-5.95956215 -5.95760837], [10.]
