epsilon, H2O-ethane, total obj
[200.0, 2342.12404198508, 2342.12404198508]
[210.0, 854.0801428631015, 854.0801428631015]
[220.0, 295.289047270788, 295.289047270788]
[230.0, 87.16885845387881, 87.16885845387881]
[250.0, 1.5148952771520832, 1.5148952771520832]
[270.0, 5.698879208074392, 5.698879208074392]
[270.0, 5.698879208074392, 5.698879208074392]
[260.0, 1.121485598248276, 1.121485598248276]
[270.0, 5.698879208074392, 5.698879208074392]
[255.0, 0.20323503559081127, 0.20323503559081127]
[250.0, 1.5148952771520832, 1.5148952771520832]
[257.5, 0.46401886362771055, 0.46401886362771055]
[252.5, 0.48908636066427685, 0.48908636066427685]
[256.25, 0.2755655224225546, 0.2755655224225546]
[253.75, 0.26689026532545834, 0.26689026532545834]
[254.375, 0.2167217747063416, 0.2167217747063416]
[255.625, 0.22370255004395745, 0.22370255004395745]
[254.6875, 0.20556809968255488, 0.20556809968255488]
[255.3125, 0.2093886817345648, 0.2093886817345648]
[254.84375, 0.20331966360726395, 0.20331966360726395]
[255.15625, 0.2052717410568456, 0.2052717410568456]
[254.921875, 0.20300926700825697, 0.20300926700825697]
[254.84375, 0.20331966360726395, 0.20331966360726395]
[254.9609375, 0.20305563719099035, 0.20305563719099035]
[254.8828125, 0.20309746189605482, 0.20309746189605482]
[254.94140625, 0.20301635865733555, 0.20301635865733555]
[254.90234375, 0.20303685851139675, 0.20303685851139675]
[254.931640625, 0.20300855951968869, 0.20300855951968869]
[254.94140625, 0.20301635865733555, 0.20301635865733555]
[254.9267578125, 0.20300777412837417, 0.20300777412837417]
[254.921875, 0.20300926700825697, 0.20300926700825697]
[254.92919921875, 0.2030080712114009, 0.2030080712114009]
[254.92431640625, 0.2030087388988253, 0.2030087388988253]
[254.927978515625, 0.20300777630465178, 0.20300777630465178]
[254.925537109375, 0.2030084833145027, 0.2030084833145027]
[254.9273681640625, 0.20300785991998865, 0.20300785991998865]
[254.9273681640625, 0.20300785991998865, 0.20300785991998865]
[254.9261474609375, 0.20300810833289995, 0.20300810833289995]
[254.92706298828125, 0.20300848356595336, 0.20300848356595336]
[254.92706298828125, 0.20300848356595336, 0.20300848356595336]
[254.92645263671875, 0.20300817227485027, 0.20300817227485027]
[254.92660522460938, 0.20300799388702687, 0.20300799388702687]
[254.92691040039062, 0.20300806830235005, 0.20300806830235005]
[254.9266815185547, 0.20300842557281654, 0.20300842557281654]
[254.9266815185547, 0.20300842557281654, 0.20300842557281654]
[254.9416438470297, 0.2030163687026527, 0.2030163687026527]
[267.6887260393812, 4.540347017925275, 4.540347017925275]
[242.19456165467818, 12.646386688819085, 12.646386688819085]
[261.31518494320545, 1.5862695288293343, 1.5862695288293343]
[248.56810275085394, 2.5290389452732467, 2.5290389452732467]
[258.1284143951176, 0.5970303020348382, 0.5970303020348382]
[251.7548732989418, 0.7073565593190293, 0.7073565593190293]
[256.53502912107365, 0.3089826463652323, 0.3089826463652323]
